date;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2016-01-01;150.615896;147.399589;144.642730;143.080515;142.161565;144.734625;141.150720;141.242615;139.588505;141.426405;145.010310;148.410425;151.626750;153.648431;157.783715;165.411000;170.281444;175.611354;171.659860;164.767735;162.562264;159.254035;153.924125;149.329375
2016-01-02;151.351056;146.021155;138.118185;121.209505;116.614755;118.912130;124.885305;130.950375;144.275150;144.458940;146.756315;148.318521;145.837365;146.848210;148.134749;152.270015;158.886464;161.000040;159.621624;155.762034;152.178111;145.469785;145.377890;140.691245
2016-01-03;146.940105;145.837365;144.826520;143.264305;144.183255;145.469785;137.658710;142.712935;145.102205;150.340229;157.599925;164.859639;164.859639;162.286570;162.286570;161.735200;171.016604;175.611354;173.313979;170.097645;166.146160;162.837931;156.497194;144.642730
2016-01-04;146.346816;144.971376;142.678976;142.770672;145.980032;153.682496;165.144496;179.173993;187.885104;187.885104;187.701703;184.675735;182.016560;181.833168;182.291639;184.217264;202.281367;261.150208;188.343593;181.282992;174.680871;169.637600;162.393607;156.158297
2016-01-05;163.071480;159.843255;159.013140;159.751020;162.887010;165.285120;173.401791;189.173985;208.266630;213.339546;214.077426;202.086885;196.368324;193.509030;193.970214;213.708495;285.744030;319.409814;223.024230;192.125505;183.455406;178.843656;172.756155;165.746286
2016-01-06;184.844660;181.243781;178.473890;178.658550;180.135830;182.905721;189.276500;203.679971;232.579279;260.739920;322.878019;350.392359;345.037201;338.020139;274.681750;332.757329;381.138231;415.023359;428.965171;396.003361;229.624719;203.679971;188.999501;178.843219
2016-01-07;209.775589;201.796500;199.477000;199.662560;202.538740;224.527609;251.155460;670.428299;927.150540;738.528781;695.015017;569.390851;555.844980;573.844281;553.803811;606.966741;927.243339;905.439983;648.810540;345.048811;296.339329;240.021869;199.940891;187.972280
2016-01-08;195.099831;186.762240;183.241929;183.983049;186.854880;192.042720;203.993280;277.086240;399.834240;404.929431;402.335520;342.304809;298.949280;248.089929;255.686400;297.189139;352.680480;427.626240;435.130089;371.393760;264.672480;232.433760;225.300480;209.922240
2016-01-09;227.060640;217.148169;211.126569;208.347360;203.437431;206.124000;207.420951;212.794071;221.872809;228.820809;245.403360;249.479520;243.828480;234.564480;230.210400;242.068311;275.789280;334.430381;258.187689;228.172311;214.276311;209.088480;204.456480;196.952640
2016-01-10;197.508480;184.631520;182.037600;179.999520;178.332000;179.628951;179.073120;181.296480;180.555360;186.669600;194.080809;200.009760;202.233120;197.601120;196.582071;203.622720;221.594880;238.640640;230.858880;225.485760;220.390569;213.442569;206.957760;200.936169
2016-01-11;198.142649;185.810889;183.400169;179.505929;182.472960;199.904311;224.753280;373.476151;425.862960;407.968000;388.867671;376.628631;383.026329;380.986480;357.899181;347.700000;351.872409;414.365671;397.583369;359.011849;258.410649;235.972409;213.719591;201.016960
2016-01-12;195.231622;183.208814;176.642530;170.261203;175.717700;193.381953;212.063519;321.563391;365.585290;379.180300;357.539278;337.193009;323.690500;307.968381;297.887734;305.193900;437.074640;517.627360;372.983957;274.582036;240.918206;228.987908;215.485381;198.930933
2016-01-13;194.166000;181.776360;173.085111;172.530360;178.540251;197.309640;217.465920;254.265000;280.616100;284.129580;290.786709;310.295769;314.271558;315.196140;314.548920;402.663291;760.021172;923.952780;554.020302;359.299569;273.866529;249.364611;235.033320;212.195709
2016-01-14;218.290350;209.655300;206.312691;204.548559;209.191059;221.911500;271.771950;649.114387;822.743859;649.764328;460.535981;464.807109;548.557819;619.588078;564.620859;614.574169;1229.798222;1438.524985;1121.256619;576.505650;364.714791;293.498859;255.244650;233.146359
2016-01-15;229.759092;224.711505;217.607481;214.429365;214.429365;216.579258;246.303990;1120.940189;1256.570917;1402.203427;542.149200;520.276284;539.064539;529.343271;444.562353;452.507634;949.415418;1401.642602;842.013811;424.652382;314.913897;274.252716;253.968858;233.311095
2016-01-16;247.612626;240.228189;232.189416;227.515716;224.618031;230.974245;226.020132;228.356982;248.453892;295.658253;312.109677;310.614102;272.570184;245.930085;238.078269;239.293440;281.824110;380.906550;380.719602;283.132755;244.714932;234.339318;231.067719;220.037805
2016-01-17;204.521103;189.284850;194.052024;196.014969;195.267177;195.734565;188.069697;208.914390;219.850848;229.759092;247.145265;254.810124;242.658495;242.751969;238.919535;246.958308;298.555965;369.128845;400.068711;355.014252;301.266702;244.714932;239.293440;227.983077
2016-01-18;223.812747;219.235608;220.076307;219.142197;219.609261;226.521675;251.742654;436.042548;767.277945;502.457778;478.731375;452.482875;438.377823;432.679752;427.448717;462.664674;759.524822;887.964947;592.132320;446.691402;319.839283;248.286438;231.846102;221.664303
2016-01-19;228.695652;220.025160;217.414692;221.703327;227.576871;245.104308;297.406890;559.572462;690.468767;624.181517;571.599270;572.718033;549.876438;545.681034;520.322220;690.748442;1246.218758;1710.975349;933.055867;536.637645;449.746363;351.480879;306.357075;271.115748
